workId,themeId,centrality,confidence,evidenceId
death-note,investigation,2,0.99,ev-death-note
death-note,school,1,0.86,ev-death-note
spy-family,combat,1,0.88,ev-spy-family
spy-family,politics,1,0.86,ev-spy-family
spy-family,investigation,2,0.95,ev-spy-family
spy-family,school,2,0.97,ev-spy-family
spy-family,foundFamily,2,0.97,ev-spy-family
frieren,adventure,2,0.98,ev-frieren
frieren,combat,1,0.88,ev-frieren
frieren,foundFamily,2,0.90,ev-frieren
frieren,exploration,2,0.95,ev-frieren
chainsaw-man,combat,2,0.99,ev-chainsaw-man
chainsaw-man,survival,2,0.95,ev-chainsaw-man
chainsaw-man,workplace,2,0.96,ev-chainsaw-man
chainsaw-man,revenge,1,0.86,ev-chainsaw-man
chainsaw-man,foundFamily,1,0.82,ev-chainsaw-man
yotsuba-to,exploration,2,0.98,ev-yotsuba-to
yotsuba-to,foundFamily,2,0.85,ev-yotsuba-to
blame,adventure,2,0.96,ev-blame
blame,combat,2,0.97,ev-blame
blame,survival,2,0.88,ev-blame
blame,postApocalypse,2,0.91,ev-blame
blame,exploration,2,0.99,ev-blame
one-piece,adventure,2,0.96,ev-one-piece
one-piece,combat,2,0.92,ev-one-piece
one-piece,foundFamily,2,0.90,ev-one-piece
one-piece,exploration,2,0.94,ev-one-piece
naruto,adventure,2,0.90,ev-naruto
naruto,combat,2,0.94,ev-naruto
naruto,martialArts,2,0.92,ev-naruto
naruto,school,1,0.82,ev-naruto
naruto,foundFamily,2,0.88,ev-naruto
dragon-ball,adventure,2,0.96,ev-dragon-ball
dragon-ball,combat,2,0.92,ev-dragon-ball
dragon-ball,martialArts,2,0.88,ev-dragon-ball
dragon-ball,tournament,1,0.78,ev-dragon-ball
dragon-ball,exploration,2,0.94,ev-dragon-ball
attack-on-titan,combat,2,0.96,ev-attack-on-titan
attack-on-titan,war,2,0.90,ev-attack-on-titan
attack-on-titan,survival,2,0.98,ev-attack-on-titan
attack-on-titan,investigation,2,0.88,ev-attack-on-titan
attack-on-titan,postApocalypse,2,0.94,ev-attack-on-titan
demon-slayer,adventure,2,0.92,ev-demon-slayer
demon-slayer,combat,2,0.96,ev-demon-slayer
demon-slayer,martialArts,2,0.92,ev-demon-slayer
demon-slayer,survival,1,0.84,ev-demon-slayer
demon-slayer,revenge,2,0.92,ev-demon-slayer
demon-slayer,foundFamily,1,0.84,ev-demon-slayer
demon-slayer,historicalReconstruction,1,0.82,ev-demon-slayer
jujutsu-kaisen,combat,2,0.98,ev-jujutsu-kaisen
jujutsu-kaisen,survival,2,0.92,ev-jujutsu-kaisen
jujutsu-kaisen,school,2,0.92,ev-jujutsu-kaisen
jujutsu-kaisen,foundFamily,1,0.82,ev-jujutsu-kaisen
my-hero-academia,combat,2,0.96,ev-my-hero-academia
my-hero-academia,tournament,1,0.82,ev-my-hero-academia
my-hero-academia,school,2,0.98,ev-my-hero-academia
my-hero-academia,sportsCompetition,1,0.80,ev-my-hero-academia
my-hero-academia,foundFamily,1,0.84,ev-my-hero-academia
hunter-x-hunter,adventure,2,0.96,ev-hunter-x-hunter
hunter-x-hunter,combat,1,0.86,ev-hunter-x-hunter
hunter-x-hunter,survival,2,0.94,ev-hunter-x-hunter
hunter-x-hunter,tournament,1,0.84,ev-hunter-x-hunter
hunter-x-hunter,foundFamily,2,0.90,ev-hunter-x-hunter
hunter-x-hunter,exploration,2,0.92,ev-hunter-x-hunter
