workId,alias
dungeon-meshi,Dungeon Meshi
fullmetal-alchemist,ハガレン
fullmetal-alchemist,FULLMETAL ALCHEMIST
death-note,デスノート
spy-family,スパイファミリー
frieren,フリーレン
frieren,Frieren: Beyond Journey's End
chainsaw-man,CHAINSAW MAN
chainsaw-man,Chainsaw Man
blue-lock,BLUE LOCK
blue-lock,ブルロ
monster,モンスター
monster,MONSTER 完全版
yotsuba-to,よつばと
yotsuba-to,YOTSUBA&!
blame,ブラム
one-piece,ワンピース
naruto,ナルト
dragon-ball,ドラゴンボール
attack-on-titan,Attack on Titan
demon-slayer,Demon Slayer
jujutsu-kaisen,Jujutsu Kaisen
my-hero-academia,ヒロアカ
hunter-x-hunter,ハンターハンター
jojo-bizarre-adventure,ジョジョ
berserk,BERSERK
vinland-saga,VINLAND SAGA
vagabond,VAGABOND
golden-kamuy,金カム
made-in-abyss,Made in Abyss
made-in-abyss,メイアビ
land-of-the-lustrous,Land of the Lustrous
land-of-the-lustrous,Houseki no Kuni
mushishi,MUSHISHI
dr-stone,Dr. STONE
dr-stone,ドクターストーン
promised-neverland,The Promised Neverland
promised-neverland,約ネバ
erased,ERASED
erased,Boku dake ga Inai Machi
20th-century-boys,20th Century Boys
20th-century-boys,二十世紀少年
pluto,プルートゥ
pluto,Pluto
ghost-in-the-shell,Ghost in the Shell
ghost-in-the-shell,THE GHOST IN THE SHELL
akira,アキラ
witch-hat-atelier,Witch Hat Atelier
witch-hat-atelier,とんがり帽子
mob-psycho-100,Mob Psycho 100
mob-psycho-100,モブサイコ１００
natsumes-book-of-friends,Natsume's Book of Friends
natsumes-book-of-friends,Natsume Yuujinchou
march-comes-in-like-a-lion,March Comes in Like a Lion
march-comes-in-like-a-lion,Sangatsu no Lion
a-silent-voice,A Silent Voice
a-silent-voice,Koe no Katachi
your-lie-in-april,Your Lie in April
your-lie-in-april,Shigatsu wa Kimi no Uso
kaguya-sama,かぐや様は告らせたい
kaguya-sama,Kaguya-sama: Love Is War
horimiya,HORI-SAN TO MIYAMURA-KUN
horimiya,HORIMIYA
kimi-ni-todoke,Kimi ni Todoke
kimi-ni-todoke,From Me to You
nana,NANA
nana,ナナ
skip-and-loafer,Skip and Loafer
skip-and-loafer,スキロー
bocchi-the-rock,Bocchi the Rock!
bocchi-the-rock,BOCCHI THE ROCK!
haikyu,Haikyu!!
haikyu,ハイキュー
hajime-no-ippo,Hajime no Ippo
hajime-no-ippo,Fighting Spirit
chis-sweet-adventures,Chi's Sweet Adventures
lovely-muco,Lovely Muco!
penguin-and-house,Penguin & House
sheetas-little-big-world,Sheeta's Little Big World
fairy-tail,FAIRY TAIL
fire-force,Fire Force
the-seven-deadly-sins,The Seven Deadly Sins
tokyo-revengers,Tokyo Revengers
