workId,batchId,batchType,status,selectionReason,methodPolicy,panelPolicy,lastUpdatedAt
work-0262dcaa820443c3185d,pilot-001,pilot,frozen,era-1970s;audience-cross;genre-crime;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-9d5d64262dbc2893acd4,pilot-001,pilot,frozen,era-1970s;audience-cross;genre-gothic;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-98d513b70560f2f96a38,pilot-001,pilot,frozen,era-1970s;audience-shonen;genre-horror;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-f50fa290eb4116a7078e,pilot-001,pilot,frozen,era-classic;audience-cross;genre-science-fiction;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-a089c0eef91d1213da38,pilot-001,pilot,frozen,era-1980s;audience-shonen;genre-comedy;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-671e3453cf9e1df2ee87,pilot-001,pilot,frozen,era-1980s;audience-seinen;genre-historical;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-14e489bf1afd1587c44a,pilot-001,pilot,frozen,era-1980s;audience-seinen;genre-sports;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-ad2b80b81b7bc9b602a3,pilot-001,pilot,frozen,era-1980s;audience-josei;genre-slice-of-life;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-39555fe7402dada0d79f,pilot-001,pilot,frozen,era-1990s;audience-shonen;genre-mystery;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-4a8a22fc766bf9bc4c59,pilot-001,pilot,frozen,era-1990s;audience-cross;genre-historical-romance;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-2f39795212f5ad8db155,pilot-001,pilot,frozen,era-1990s;audience-seinen;genre-action-historical;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-1cf7a0bb5f55e0d69b27,pilot-001,pilot,frozen,era-1990s;audience-shonen;genre-sports;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
