workId,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath
work-017446dd1a9039d9839b,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600); Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.,講談社 サンダー3 1권 상품 페이지,https://www.kodansha.co.jp/comic/products/0000368603,2022-10-17,2026-08-23,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-1012948f5de799831da4,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Tone 4/7=0.571 (<0.600); Art 0/4=0.000 (<0.300). Unknown is not a low value and no value was filled to meet a quota. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.,講談社 公式商品ページ,https://www.kodansha.co.jp/comic/products/0000009137,2014-07-11,2026-08-23,"Provide an edition-mapped official internal preview with at least 6 readable pages, 2 scene contexts, and Local Codex plus Gemini pixel quorum; Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold"
work-19a26f01512166856a6a,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Evidence source is explicitly undated; evidencePublishedAt uses canonical work firstPublishedYear 1977 only as a fallback, not as the source publication date. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.",小学館eコミックストア 銀河鉄道999 1권 작품 페이지,https://e-comi.shogakukan.co.jp/books/091880010000d0000000,1977,2026-08-23,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-1e27731b880d0d9012f8,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 0/6=0.000 (<0.600); Genre 0. Unknown is not a low value and no value was filled to meet a quota. Evidence source is explicitly undated; evidencePublishedAt uses canonical work firstPublishedYear 1983 only as a fallback, not as the source publication date. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.",小学館eコミックストア 吉祥天女 1권 작품 페이지,https://e-comi.shogakukan.co.jp/books/091313010000d0000000,1983,2026-08-23,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct official entry-range Genre evidence
work-29d4300ad9d3358fb67a,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Tone 3/7=0.429 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.,講談社 外天楼 단행본 상품 페이지,https://www.kodansha.co.jp/comic/products/0000223170,2011-10-21,2026-08-23,Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-40b8c35b1d8c9a90144c,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600); Art 0/4=0.000 (<0.300); Genre 0; Theme 0. Unknown is not a low value and no value was filled to meet a quota. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.,webアクション,https://comic-action.com/episode/3269632237258846992,2021-02-19,2026-08-23,"Provide an edition-mapped official internal preview with at least 6 readable pages, 2 scene contexts, and Local Codex plus Gemini pixel quorum; Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold; Provide direct official entry-range Genre evidence; Provide direct official evidence for at least one central Theme"
work-518d7ed42dd9253679c3,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first routes exhausted; unchanged promotion coverage fails: Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Evidence source is explicitly undated; evidencePublishedAt uses canonical work firstPublishedYear 1992 only as a fallback, not as the source publication date. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.",小学館eコミックストア 墨攻 1권 작품 페이지,https://e-comi.shogakukan.co.jp/books/091830410000d0000000,1992,2026-08-23,Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-5b4dc4e6e966436b2990,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Theme 0. Unknown is not a low value and no value was filled to meet a quota. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.,白泉社 人形芝居 1권 상품 페이지,https://www.hakusensha.co.jp/comicslist/41133/,1998-10-19,2026-08-23,Provide direct official evidence for at least one central Theme
work-5cafd57db6b870a71a05,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first routes exhausted; unchanged promotion coverage fails: Art 0/4=0.000 (<0.300); Genre 0; Theme 0. Unknown is not a low value and no value was filled to meet a quota. Evidence source is explicitly undated; evidencePublishedAt uses canonical work firstPublishedYear 1988 only as a fallback, not as the source publication date. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.",小学館eコミックストア,https://e-comi.shogakukan.co.jp/books/091221210000d0000000,1988,2026-08-23,"Provide an edition-mapped official internal preview with at least 6 readable pages, 2 scene contexts, and Local Codex plus Gemini pixel quorum; Provide direct official entry-range Genre evidence; Provide direct official evidence for at least one central Theme"
work-5ebbc9bede841d2faf7b,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Combined input/review packet binding: SHA-256=3852eea86b876b9231d549cf044e99a9a396b6adb6c1bd8d9b0ccd9be1e71e2f; see final-overlay-validation.json inputBindings.,集英社 高台家の人々 1권 상품 페이지,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08845109845109315501,2013-09-25,2026-08-23,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold
